formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Ce4 Pt4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,1.16,0.4892,0.5,0.216,3.0,1.2472,True,orthorhombic,mmm,62,23.1998,10.8296,0.5752
Ca6 O18 Si6,3,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,-1.6,2.44,1.0156,1.2,0.4716,2.0,0.8,True,triclinic,-1,2,13.0081,2.9657,0.7128
Li8 O16 Si4 Zn4,4,0.0,0.25,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,-1.0,2.46,1.0707,0.85,0.3824,2.0,0.696,True,monoclinic,2/m,14,10.8979,3.2641,0.4755
C4 Co12 Ta12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571,2.4286,1.05,0.3486,0.75,0.2493,4.0,1.3997,True,cubic,m-3m,227,12.9098,13.4443,1.0
B2 P4 Rb6,3,0.0,0.5,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.37,0.6619,1.5,0.7018,3.0,1.2134,True,monoclinic,2/m,15,33.4237,2.7255,0.7139
Mg1 Y1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.09,0.045,0.3,0.15,2.0,1.0,True,cubic,m-3m,221,27.4894,3.4193,1.0
C2 Na2 Pt1,3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1.62,0.756,1.1,0.4936,4.0,1.4697,True,trigonal,-3m,164,18.797,4.6835,0.872
Co1 Fe2 Ge1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.5,0.18,0.0736,0.15,0.0612,0.0,0.0,True,cubic,m-3m,225,11.7404,8.6017,1.0
Be2 F8 K2 Sr1,4,0.0,0.1538,0.2308,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.3957,1.7,0.6717,3.0,1.0088,True,trigonal,-3m,166,13.9048,3.085,1.0
Cu2 Fe1 Ge1 S4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.375,-0.75,0.75,0.3381,0.4,0.1731,1.0,0.5,True,tetragonal,-42m,121,18.7048,4.2594,0.8231
Pt2 V2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.65,0.325,0.0,0.0,2.0,1.0,True,tetragonal,4/mmm,123,14.3255,14.2591,0.9762
Ce2 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.79,0.3701,0.75,0.3118,5.0,2.1602,True,tetragonal,4mm,109,18.8431,6.665,0.5292
Al14 Au6 Lu2,3,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0909,0.2727,3.0,1.27,0.4436,0.5,0.142,3.0,1.4431,True,trigonal,-3m,167,18.0279,7.9946,1.0
Mn2 Rb2 Sb2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,-0.0,1.23,0.5051,0.95,0.4365,1.0,0.4714,True,tetragonal,4/mmm,129,32.8454,4.418,0.5483
Ce6 F18,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.86,1.2384,1.35,0.5846,6.0,2.5981,True,hexagonal,622,182,13.2201,6.1896,1.0094
Cs1 K1 Li12 Na2 O16 Si4,6,0.0,0.4444,0.0,0.4444,0.0,0.0,0.1111,0.0,0.0,0.0,-0.8889,2.65,1.1772,2.0,0.5246,4.0,0.7817,True,tetragonal,4/m,87,11.1839,2.7617,0.7561
Ag1 In1 S2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.3664,0.6,0.288,2.0,1.0,True,trigonal,-3m,166,20.4511,5.822,1.0
Lu1 O2 Rb1,3,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,2.62,1.208,1.75,0.7554,4.0,1.7854,True,trigonal,-3m,166,16.5184,7.3493,1.0
P20 Re8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,-1.0,0.29,0.131,0.35,0.1581,3.0,1.3553,True,triclinic,-1,2,15.8788,7.8773,0.879
Er3 Ni9,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,2.25,0.67,0.2901,0.4,0.1732,4.0,1.7321,True,trigonal,-3m,166,14.1269,10.0894,1.0
C4 H8 O12 Zn2,4,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,0.0,0.0,0.0769,-1.6923,1.79,0.641,1.1,0.2851,3.0,0.7692,True,monoclinic,2/m,15,10.0684,2.4036,0.6691
Be1 Se1,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.49,0.1,0.05,2.0,1.0,True,cubic,m-3m,225,14.9243,4.8941,1.0
C28 Ho16,2,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,0.0,0.3636,0.0,-1.4545,1.32,0.635,1.05,0.5051,6.0,2.8863,True,monoclinic,2/m,14,14.2903,7.8572,0.2694
Ho24 In2 Pt14,3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.35,2.65,1.05,0.4949,0.4,0.1884,3.0,1.0618,True,tetragonal,4/mmm,140,24.1644,11.8868,1.0
Ca1 Ge2 Mn2,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.4,1.01,0.3737,0.55,0.2015,0.0,0.0,True,tetragonal,4/mmm,139,17.7014,5.5391,0.646
B4 Ca8 Cl4 N8,4,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,2.16,0.9343,1.15,0.4922,2.0,0.8975,True,orthorhombic,mmm,62,17.3316,2.466,0.3342
Ce1 Fe2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.78,0.2996,0.75,0.275,5.0,1.8547,True,tetragonal,4/mmm,139,15.3198,6.6764,0.724
Ba6 Mn2 N6,3,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,-0.1429,2.15,1.0058,1.5,0.6944,4.0,1.8516,True,hexagonal,6/m,176,23.5087,5.1356,1.4974
Ni2 Se2 Tl1,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.93,0.3761,0.75,0.275,2.0,0.8,True,tetragonal,4/mmm,139,20.3802,7.8168,0.5352
C1 In1 Ti3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,1.01,0.3912,0.85,0.3007,3.0,0.9798,True,cubic,m-3m,221,15.3131,5.865,1.0
Tb1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,cubic,m-3m,229,32.4824,8.1245,1.0
Cu3 Se4 V1,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.92,0.3682,0.2,0.1,0.0,0.0,True,cubic,-43m,215,22.5517,5.1305,1.0
Ga4 La4 O2 S12 Zn2,5,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.1667,0.25,-0.0,2.34,0.6727,1.35,0.3838,6.0,1.8708,True,tetragonal,-42m,113,22.6162,4.2282,0.6498
K9 O24 P6 Sc3,4,0.0,0.2143,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0714,-1.1429,2.62,1.1016,1.6,0.6485,2.0,0.8806,True,trigonal,-3,147,14.584,2.8643,1.2303
La16 O56 Si16,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.1818,0.0,0.1818,0.1818,-1.4545,2.34,0.9639,1.35,0.5135,6.0,2.26,True,tetragonal,4,76,13.7041,4.9127,0.2745
Cs2 Cu2 Se6 U2,4,0.1667,0.1667,0.0,0.5,0.0,0.0,0.0,0.0,0.1667,0.1667,0.5,1.76,0.6774,1.45,0.5258,5.0,1.8634,True,orthorhombic,mmm,63,29.9587,6.202,0.3866
Mg2 O12 Pt2 Sr6,4,0.0,0.0,0.3636,0.5455,0.0,0.0,0.0,0.0,0.0,0.0909,-0.1818,2.49,1.1264,1.4,0.6136,4.0,1.5428,True,trigonal,-3m,167,13.9999,6.2351,1.0
O4 S8 Sb8,3,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,-2.4,1.39,0.5086,0.85,0.3209,3.0,1.2,True,triclinic,-1,2,24.0691,4.4658,0.5473
Cr6 Rh2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.62,0.2685,0.05,0.0217,1.0,0.433,True,cubic,m-3m,223,12.4689,8.6195,1.0
Ca10 Si6,2,0.0,0.0,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,-0.25,0.9,0.4357,0.7,0.3389,1.0,0.4841,True,tetragonal,4/mmm,140,26.9929,2.1888,0.8346
Fe4 Ho4 O12,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,2.21,0.9547,1.15,0.4903,6.0,2.3324,True,orthorhombic,mmm,62,11.5488,7.7291,0.6903
Cl16 Fe4 Na4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,-0.1667,2.23,0.8784,0.8,0.3055,1.0,0.3727,True,orthorhombic,222,19,28.0291,2.1786,0.6
Cl4 H20 O8,3,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,-1.25,1.24,0.561,0.75,0.2609,2.0,0.7071,True,monoclinic,2/m,14,10.2047,1.4745,0.3342
Cs2 O24 P8 Pr2,4,0.0,0.0556,0.0,0.6667,0.0,0.0556,0.0,0.0,0.0556,0.0,-1.7778,2.65,0.853,2.0,0.5215,6.0,1.5831,True,monoclinic,2,4,16.6346,3.2704,0.7764
Au1 Gd3 O6,3,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.3,0.1,0.0,2.24,1.0028,1.2,0.5468,6.0,2.7495,True,triclinic,-1,2,14.5061,8.7538,0.5152
Br10 Co2 Cs6,3,0.0,0.3333,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.1111,-0.0,2.17,0.994,1.45,0.6706,2.0,0.9428,True,tetragonal,4/mmm,140,41.8721,3.777,0.9563
C16 Co4 O16 Tl4,4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,-2.1,1.82,0.6402,1.3,0.4114,4.0,1.2806,True,cubic,23,198,18.9588,3.2876,1.0
I2 Mg1,2,0.0,0.0,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.6364,0.1,0.0471,2.0,0.9428,True,trigonal,-3m,164,39.5477,3.8925,0.5445
Ag4 S2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.65,0.3064,0.6,0.2828,2.0,0.9428,True,monoclinic,m,7,20.8991,6.563,0.5104
F4 K2 Mg1,3,0.0,0.2857,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.4907,1.7,0.7573,2.0,0.8806,True,tetragonal,4/mmm,139,15.5274,2.727,0.5559
Bi1 Te3,2,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,-0.75,0.08,0.0346,0.2,0.0866,1.0,0.433,True,trigonal,3m,160,33.4525,7.3438,1.0
O14 Si4 Y4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.1818,0.0,0.0,0.1818,-1.4545,2.22,0.9273,1.2,0.4601,3.0,1.1355,True,monoclinic,2/m,14,13.2937,3.9288,0.4351
La16 O56 Ti16,3,0.0,0.0,0.0,0.6364,0.0,0.1818,0.0,0.0,0.1818,0.3636,0.0,2.34,1.0284,1.35,0.5431,6.0,2.2709,True,orthorhombic,mm2,33,13.0291,5.6256,0.2136
Fe2 Se4,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.6667,0.72,0.3394,0.25,0.1179,0.0,0.0,True,orthorhombic,mmm,58,16.6889,7.0899,0.6226
Co2 Ge2 Y1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,-0.2,0.79,0.2958,0.55,0.2049,1.0,0.4,True,tetragonal,4/mmm,139,15.9457,7.3323,0.684
Li2 Mn2 O24 P8,4,0.0,0.0556,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0556,-1.8333,2.46,0.7823,0.85,0.2804,2.0,0.5774,True,monoclinic,2,4,14.4841,2.4061,0.7294
Cu18 Eu2 Mg4,3,0.0,0.0,0.1667,0.0,0.0,0.0833,0.0,0.0,0.0833,0.75,2.0,1.9,0.5413,0.5,0.1419,5.0,1.2134,True,hexagonal,6/mmm,194,14.9272,7.1611,0.3152
Ca8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,tetragonal,422,92,42.1293,1.5797,0.2643
Ge2 Pr2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,1.0,0.88,0.3595,0.6,0.255,4.0,1.8856,True,tetragonal,4/mmm,129,23.0021,6.2906,0.5193
Ni4 O12 Pr4,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,-0.2,2.31,0.9724,1.25,0.5148,6.0,2.3324,True,orthorhombic,mmm,62,11.6026,7.0872,0.7048
Fe1 Li3 O24 P8,4,0.0,0.0833,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0278,-1.8611,2.46,0.8033,0.85,0.2836,2.0,0.5061,True,monoclinic,2,5,12.3533,2.6453,0.7438
Cr4 Li2 O32 P10,4,0.0,0.0417,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0833,-1.6667,2.46,0.7618,0.85,0.287,2.0,0.6333,True,monoclinic,m,7,13.2437,2.726,3.733
As12 Ba6,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,-1.3333,1.29,0.6081,1.0,0.4714,2.0,0.9428,True,monoclinic,m,7,30.7749,5.165,0.5234
Lu2 O8 P2,3,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,0.0,-1.3333,2.17,0.8487,1.15,0.4247,4.0,1.4625,True,tetragonal,4/mmm,141,11.5949,6.4431,1.0
Ca2 H2 I2,3,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.6998,1.55,0.657,4.0,1.6997,True,tetragonal,4/mmm,129,25.482,3.649,0.4276
Cr12 Si24 Zr12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.25,0.57,0.2337,0.45,0.1949,2.0,0.8292,True,orthorhombic,mmm,55,14.9856,5.5236,0.8181
Ni4 Sb28 Zr12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,0.0,0.0,0.3636,-0.6364,0.72,0.3153,0.2,0.0575,1.0,0.2875,True,orthorhombic,mmm,62,23.1055,7.7401,0.2243
Ni1 Sb1 Tm1,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.6667,0.8,0.3488,0.4,0.17,4.0,1.6997,True,cubic,-43m,216,20.7565,9.3171,1.0
Ag2 P4 S12 V2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,0.95,0.326,0.6,0.1981,2.0,0.6403,True,monoclinic,2/m,13,23.0867,2.9716,0.5446
Ag3 Er3 Pb3,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,2.0,1.09,0.4502,0.2,0.085,3.0,1.2472,True,hexagonal,-6m2,189,24.725,10.7977,1.6485
H64 N32 Zn16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,-1.1429,1.39,0.4677,1.1,0.3807,3.0,1.0302,True,tetragonal,4/mmm,142,9.2837,2.4902,0.8161
Al4 Au1 Ge2 Nd1,4,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.125,0.125,1.25,1.4,0.3885,0.6,0.1965,5.0,1.7139,True,trigonal,-3m,166,20.7952,5.9332,1.0
Ba2 Er1 O6 Ru1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.2,2.55,1.0995,1.55,0.6455,6.0,2.1932,True,cubic,m-3m,225,14.8689,7.136,1.0
Rb1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,cubic,m-3m,229,90.4354,1.5693,1.0
Ag24 Au8 S16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.65,0.3186,0.6,0.2684,3.0,1.118,True,cubic,432,213,20.0581,8.0676,1.0
Mo1 N1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.88,0.44,0.8,0.4,3.0,1.5,True,cubic,m-3m,221,9.8986,9.222,1.0
As4 Cu2 Y2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.25,0.96,0.3923,0.65,0.2655,1.0,0.433,True,tetragonal,4/mmm,129,18.9545,6.6207,0.3935
Ce4 S12 Sc4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,1.46,0.6608,0.85,0.3639,5.0,1.9391,True,orthorhombic,mmm,62,22.3044,4.188,0.6818
B4 Cl4 F24,3,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,-0.5,1.94,0.6599,0.5,0.1878,1.0,0.3307,True,monoclinic,2/m,14,15.0891,2.2045,0.6465
Ag30 K6 S18,3,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.0,1.76,0.5187,1.2,0.3771,2.0,0.9162,True,hexagonal,-6m2,190,23.6439,5.2645,1.6796
Cl1 H3 O1,3,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-1.2,1.24,0.5461,0.75,0.2977,2.0,0.8,True,trigonal,3m,160,12.7462,1.4194,1.0
B64 H96,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.16,0.0784,0.6,0.2939,1.0,0.4899,True,orthorhombic,mmm,61,9.941,0.8234,0.769
Eu2 Ni20 P12,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.5882,0.2353,2.19,0.492,0.85,0.2215,5.0,1.1315,True,orthorhombic,mmm,64,13.2228,6.8312,0.7313
O28 P8 Sr8,3,0.0,0.0,0.1818,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,-1.4545,2.49,0.9742,1.4,0.5276,3.0,1.1355,True,orthorhombic,mmm,62,14.9406,3.5281,0.4104
La16 Na2 Se24,3,0.0,0.0476,0.0,0.5714,0.0,0.381,0.0,0.0,0.381,0.381,0.0476,1.62,0.7278,0.8,0.3889,5.0,1.9909,True,tetragonal,-42m,122,26.9347,6.1115,2.5997
H16 Mg3 O16 P2,4,0.0,0.0,0.0811,0.4324,0.0,0.0,0.0,0.0,0.0,0.0,-1.2973,2.13,0.7171,1.25,0.3522,2.0,0.6922,True,monoclinic,2/m,12,8.3529,2.1867,0.5573
Ba1 Mg2 Sb2,3,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,-0.0,1.16,0.4576,0.7,0.2709,3.0,1.2,True,trigonal,-3m,164,33.1113,4.3075,0.5872
Ca4 In2 Pd4,3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,1.2,0.5415,0.4,0.18,1.0,0.4899,True,monoclinic,2/m,15,23.5781,5.7442,0.7008
Li12 Na4 Si24,3,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-2.0,0.97,0.457,0.7,0.2348,1.0,0.4583,True,orthorhombic,mmm,62,17.6517,1.9974,0.211
Cs2 F6 Na1 Tl1,4,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.2,3.19,1.4603,2.1,0.878,4.0,1.7916,True,cubic,m-3m,225,19.3569,5.2087,1.0
Cu8 I56 Mo24,3,0.0,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.3636,0.6364,0.76,0.2801,0.1,0.0287,1.0,0.2875,True,orthorhombic,mmm,61,37.2673,5.0216,0.6613
Co4 O16 Te6,3,0.0,0.0,0.0,0.8462,0.0,0.0,0.2308,0.0,0.0,0.1538,-1.3846,1.56,0.6979,0.8,0.3798,3.0,1.3009,True,monoclinic,2/m,15,15.1888,5.2869,0.451
C2 U1,2,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,-0.6667,1.17,0.5515,1.05,0.495,7.0,3.2998,True,tetragonal,4/mmm,139,12.3143,11.7788,0.906
Mg4 Pt2,2,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.0,0.97,0.4573,0.15,0.0707,3.0,1.4142,True,tetragonal,4/mmm,140,19.3272,6.9792,1.0
As8 Ir4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,-1.0,0.02,0.0094,0.2,0.0943,2.0,0.9428,True,monoclinic,2/m,14,18.1119,10.4536,0.9832
Cs2 O2,2,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.65,1.325,2.0,1.0,4.0,2.0,True,orthorhombic,mmm,71,27.6163,4.4767,0.7991
Ga4 Pu4,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.5,0.53,0.265,0.45,0.225,5.0,2.5,True,tetragonal,4mm,107,21.8796,11.9049,1.0
Lu1 Pd1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.93,0.465,0.35,0.175,1.0,0.5,True,cubic,m-3m,221,20.364,11.4726,1.0
Ge4 K12 Te12,3,0.0,0.4286,0.0,0.4286,0.0,0.0,0.5714,0.0,0.0,0.0,-1.0,1.28,0.623,0.95,0.4174,1.0,0.4949,True,monoclinic,2/m,15,39.3842,3.4497,0.9218
Mg24 Y5,2,0.0,0.0,0.8276,0.0,0.0,0.0,0.0,0.0,0.0,0.1724,2.1724,0.09,0.034,0.3,0.1133,2.0,0.7555,True,cubic,-43m,217,24.7291,2.38,1.0
C2 Li6 Ni2 O14 P2,5,0.0,0.2308,0.0,0.5385,0.0,0.0,0.0,0.0,0.0,0.0769,-1.2308,2.46,1.0175,0.85,0.371,2.0,0.5756,True,monoclinic,2/m,11,10.2676,2.9172,0.5924
La6 Ni6 Zn2,3,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.4286,1.0,2.4286,0.81,0.3784,0.6,0.2969,4.0,1.9795,True,orthorhombic,mmm,63,21.2641,7.3429,0.3135
Er2 Ge2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,1.0,0.77,0.3169,0.5,0.2095,4.0,1.8856,True,tetragonal,4/mmm,129,20.705,7.6929,0.5305
Li8 Pb3,2,0.0,0.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2727,1.35,0.6012,0.35,0.1559,4.0,1.7814,True,monoclinic,2/m,12,19.2205,5.3182,0.4299
Cu2 Ge1 Hg1 Se4,4,0.0,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.375,-0.875,0.65,0.3011,0.35,0.1236,2.0,0.6614,True,tetragonal,-42m,121,24.0603,6.1783,0.841
Ca12 Ga2 N10,3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.9731,1.15,0.5483,2.0,0.986,True,hexagonal,6/mmm,193,17.7016,2.9723,0.5179
Li4 Si2,2,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-0.6667,0.92,0.4337,0.35,0.165,1.0,0.4714,True,monoclinic,2/m,12,16.7528,1.3866,0.6535
Se1 U1,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,1.17,0.585,0.6,0.3,5.0,2.5,True,cubic,m-3m,225,23.5464,11.1773,1.0
F4 Pd2,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,1.78,0.8391,0.9,0.4243,3.0,1.4142,True,tetragonal,4/mmm,136,14.2315,5.6169,0.7055
Ho4 Pd4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.3333,0.97,0.4125,0.35,0.1546,3.0,1.4142,True,orthorhombic,mmm,62,22.1763,9.7358,0.5789
As8 Ca8 H56 O56,4,0.0,0.0,0.0625,0.4375,0.0,0.0,0.0625,0.0,0.0,0.0,-1.375,2.44,0.7385,1.55,0.4007,3.0,0.9499,True,orthorhombic,mmm,61,10.7199,2.2659,0.9762
Cu4 Lu4 S8,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,1.31,0.5451,0.75,0.3092,3.0,1.2247,True,orthorhombic,mmm,62,19.8531,6.3283,0.2961
P8 Se24 Tl16,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.1667,0.93,0.4159,0.9,0.375,3.0,1.118,True,monoclinic,2/m,14,30.5544,6.1287,0.7176
Mn4 P4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.64,0.32,0.4,0.2,1.0,0.5,True,orthorhombic,mmm,62,11.9712,5.9585,0.5392
K4 O6 Pb4,3,0.0,0.2857,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.0851,1.6,0.7091,4.0,1.666,True,cubic,23,199,22.8453,5.6134,1.0
As2 Te2 U2,3,0.3333,0.0,0.0,0.3333,0.0,0.0,0.6667,0.0,0.3333,0.0,0.3333,0.8,0.3598,0.6,0.2461,5.0,2.1602,True,tetragonal,4/mmm,139,24.9036,9.7918,0.4582
F28 Sc4 Sr8,3,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,3.03,1.3301,1.5,0.6347,3.0,1.249,True,monoclinic,2/m,14,14.2447,4.1172,0.45
Co6 O8,2,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2857,1.56,0.772,0.75,0.3712,2.0,0.9897,True,cubic,m-3m,227,9.6734,5.905,1.0
Ba4 Te16 Y8,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.5714,0.0,0.0,0.2857,0.0,1.21,0.5004,0.75,0.2776,1.0,0.3499,True,orthorhombic,mmm,62,36.2477,5.4027,0.2751
Te4 V3,2,0.0,0.0,0.0,0.5714,0.0,0.0,0.5714,0.0,0.0,0.4286,1.0,0.47,0.2326,0.05,0.0247,1.0,0.4949,True,monoclinic,2/m,12,24.1992,6.5015,0.5432
