formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Ag8 O12 Se4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-1.0,1.51,0.6837,1.0,0.4507,3.0,1.3744,True,monoclinic,2/m,14,15.795,6.0046,0.491
Al2 N2 Ti4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.5,0.6401,0.75,0.3092,2.0,0.8292,True,hexagonal,6/mmm,194,13.2546,4.2822,0.2192
Be12 F48 K8 Mg8,4,0.0,0.1053,0.2632,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.3153,1.7,0.5653,2.0,0.6531,True,cubic,23,198,13.3142,2.5064,1.0
Ge4 Pt4 Yb4,3,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,2.28,1.0172,0.5,0.216,4.0,1.633,True,orthorhombic,mmm,62,19.4905,12.5173,0.5905
O20 Si4 Y8,3,0.0,0.0,0.0,0.625,0.0,0.0,0.125,0.0,0.0,0.25,-1.0,2.22,0.9848,1.2,0.5097,3.0,1.2686,True,monoclinic,2/m,15,13.8838,4.2742,0.7036
P6 Sr6,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.24,0.62,1.0,0.5,2.0,1.0,True,hexagonal,-6m2,189,28.6519,3.4366,1.3388
Ba2 Cu2 P2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.3,0.5572,1.15,0.4813,3.0,1.2472,True,hexagonal,6/mmm,194,23.7182,5.4106,0.4575
Ba2 Ce2 O6,3,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,-0.2,2.55,1.1951,1.55,0.6924,6.0,2.5298,True,trigonal,-3m,167,17.5668,6.1526,1.0
Ge4 Ru2 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.2,0.2,2.2,1.0181,0.5,0.2375,4.0,1.833,True,monoclinic,2/m,12,21.0838,8.8872,0.4635
In4 Na6 O24 P6,4,0.0,0.15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,2.51,0.9602,1.2,0.4669,3.0,0.9165,True,monoclinic,2/m,15,12.5132,3.8717,0.7407
